Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,2023 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"SOUTHERN ECONOMIC JOURNAL","SOUTH ECON J","WILEY","0038-4038","2325-8012","ECONOMICS","SSCI","2,309","1.8","0.6","18.24"%," 241/600 ","1.7","Q2","1.7","0.2"," 252/603 ","Q2","58.29","0.002","0.454","0.889","59.9","Q2","Q2","44","100"%,"16.1","11.8","44",
"Local Economy","LOCAL ECON","SAGE PUBLICATIONS LTD","0269-0942","1470-9325","ECONOMICS","ESCI","961","1.8","0.59","49.57"%," 241/600 ","2","Q2","1.6","0.1"," 258/603 ","Q2","57.30","0.001","0.161","0.438","59.9","Q2","Q3","44","100"%,"7.4","6.6","44",
"Journal of Economic and Administrative Sciences","J ECONOM ADM SCI","EMERALD GROUP PUBLISHING LTD","1026-4116","2054-6246","ECONOMICS","ESCI","727","1.8","0.57","0"%," 241/600 ","1.9","Q2","1.7","0.4"," 269/603 ","Q2","55.47","0.001","0.143","0.261","59.9","Q2","Q3","76","98.68"%,"2.9","8.6","75",
"APPLIED ECONOMICS","APPL ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0003-6846","1466-4283","ECONOMICS","SSCI","12,563","1.8","0.56","8.11"%," 241/600 ","2.2","Q2","1.7","0.4"," 276/603 ","Q2","54.31","0.009","2.006","0.47","59.9","Q2","Q3","572","99.83"%,"7.3","8.4","571",
"Journal of Sports Economics","J SPORT ECON","SAGE PUBLICATIONS INC","1527-0025","1552-7794","ECONOMICS","SSCI","1,354","1.8","0.5","17.07"%," 241/600 ","2.1","Q2","1.6","0.1"," 304/603 ","Q3","49.67","0.001","0.28","0.648","59.9","Q2","Q2","34","100"%,"8.4","10.4","34",
"NATIONAL TAX JOURNAL","NATL TAX J","UNIV CHICAGO PRESS","0028-0283","1944-7477","ECONOMICS","SSCI","1,802","1.8","0.5","0.99"%," 241/600 ","1.9","Q2","1.4","0.6"," 304/603 ","Q3","49.67","0.002","0.421","1.419","59.9","Q2","Q1","40","100"%,"17.8","8.2","40",
"Asian Journal of Technology Innovation","ASIAN J TECHNOL INNO","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1976-1597","2158-6721","ECONOMICS","SSCI","557","1.8","0.49","4.23"%," 241/600 ","2.3","Q2","1.7","0.2"," 309/603 ","Q3","48.84","0","0.087","0.361","59.9","Q2","Q3","25","100"%,"4.6","10.5","25",
"Bio-based and Applied Economics","BIO-BASED APPL ECON","FIRENZE UNIV PRESS","2280-6180","2280-6172","ECONOMICS","ESCI","262","1.8","0.47","98.18"%," 241/600 ","1.5","Q3","1.5","0.9"," 318/603 ","Q3","47.35","0","0.036","0.241","59.9","Q2","Q3","15","93.33"%,"5.6","7.1","14",
"Economics of Energy & Environmental Policy","ECON ENERGY ENV POL","INT ASSOC ENERGY ECONOMICS","2160-5882","2160-5890","ECONOMICS","SSCI","394","1.8","0.41","9.84"%," 241/600 ","1.8","Q2","1.8","0.3"," 347/603 ","Q3","42.54","0.001","0.118","0.673","59.9","Q2","Q2","20","100"%,"6.5","4.3","20",
"Transformations in Business & Economics","TRANSFORM BUS ECON","VILNIUS UNIV","1648-4460","N/A","ECONOMICS","SSCI","839","1.8","0.37","0"%," 241/600 ","1.2","Q3","1.7","0.1"," 369/603 ","Q3","38.89","0.001","0.146","0.17","59.9","Q2","Q4","87","98.85"%,"3.7","5.2","86",
"Education Finance and Policy","EDUC FINANC POLICY","MIT PRESS","1557-3060","1557-3079","ECONOMICS","SSCI","734","1.7","0.95","2.04"%," 256/600 ","2","Q2","1.6","0.3"," 145/603 ","Q1","76.04","0.002","0.366","1.468","57.4","Q2","Q1","37","100"%,"7","8.9","37",
"CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES","CAN PUBLIC POL","UNIV TORONTO PRESS INC","0317-0861","1911-9917","ECONOMICS","SSCI","862","1.7","0.85","11.22"%," 256/600 ","1.9","Q2","1.4","0.4"," 167/603 ","Q2","72.39","0.001","0.243","0.706","57.4","Q2","Q2","28","100"%,"7.6","7.4","28",
"Astin Bulletin-The Journal of the International Actuarial Association","ASTIN BULL","CAMBRIDGE UNIV PRESS","0515-0361","1783-1350","ECONOMICS","SSCI","957","1.7","0.7","35.42"%," 256/600 ","1.9","Q2","1.5","0.4"," 217/603 ","Q2","64.10","0.001","0.224","0.72","57.4","Q2","Q2","33","100"%,"11.5","9.3","33",
"EXPERIMENTAL ECONOMICS","EXP ECON","SPRINGER","1386-4157","1573-6938","ECONOMICS","SSCI","2,534","1.7","0.63","55.65"%," 256/600 ","2.5","Q2","1.6","0.7"," 237/603 ","Q2","60.78","0.004","0.904","1.996","57.4","Q2","Q1","28","100"%,"12.2","14.4","28",
"International Journal of Ethics and Systems","INT J ETHICS SYST","EMERALD GROUP PUBLISHING LTD","2514-9369","2514-9377","ECONOMICS","ESCI","469","1.7","0.62","0"%," 256/600 ","1.9","Q2","1.5","0.6"," 243/603 ","Q2","59.78","0","0.097","0.226","57.4","Q2","Q3","37","89.19"%,"3.1","6.7","33",
"Review of Economics and Political Science","REV ECON POLIT SCI-R","EMERALD GROUP PUBLISHING LTD","2356-9980","2631-3561","ECONOMICS","ESCI","183","1.7","0.62","97.56"%," 256/600 ","N/A","N/A","1.7","0.7"," 243/603 ","Q2","59.78","0","0.053","N/A","57.4","Q2","N/A","41","100"%,"2.7","10.6","41",
"CONTEMPORARY ECONOMIC POLICY","CONTEMP ECON POLICY","WILEY","1074-3529","1465-7287","ECONOMICS","SSCI","1,178","1.7","0.59","17.31"%," 256/600 ","1.4","Q3","1.7","0.1"," 258/603 ","Q2","57.30","0.001","0.267","0.611","57.4","Q2","Q2","29","100"%,"9.8","7","29",
"ECONOMIC INQUIRY","ECON INQ","WILEY","0095-2583","1465-7295","ECONOMICS","SSCI","3,860","1.7","0.55","31.16"%," 256/600 ","1.8","Q2","1.7","0.1"," 280/603 ","Q2","53.65","0.005","1.089","1.142","57.4","Q2","Q1","60","100"%,"10.7","10.2","60",
"Journal of Economic Methodology","J ECON METHODOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1350-178X","1469-9427","ECONOMICS","SSCI","678","1.7","0.54","36.99"%," 256/600 ","2","Q2","1.5","0.2"," 282/603 ","Q2","53.32","0.001","0.189","0.879","57.4","Q2","Q2","15","93.33"%,"9.1","13.3","14",
"JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS","J REAL ESTATE FINANC","SPRINGER","0895-5638","1573-045X","ECONOMICS","SSCI","2,041","1.7","0.53","21.84"%," 256/600 ","1.7","Q2","1.6","0.3"," 289/603 ","Q2","52.16","0.002","0.353","0.575","57.4","Q2","Q2","35","100"%,"11.5","10.8","35",
"JOURNAL OF ECONOMIC EDUCATION","J ECON EDUC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0022-0485","2152-4068","ECONOMICS","SSCI","1,155","1.7","0.52","9.91"%," 256/600 ","1.8","Q2","1.3","0.3"," 293/603 ","Q2","51.49","0.001","0.165","0.545","57.4","Q2","Q2","38","97.37"%,"12.5","9.8","37",
"JOURNAL OF ECONOMICS AND FINANCE","J ECON FINANC-US","SPRINGERNATURE","1055-0925","1938-9744","ECONOMICS","ESCI","685","1.7","0.49","16.43"%," 256/600 ","N/A","N/A","1.6","0.4"," 309/603 ","Q3","48.84","0","0.082","N/A","57.4","Q2","N/A","61","98.36"%,"8.1","11.8","60",
"Journal of Behavioral Finance","J BEHAV FINANC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1542-7560","1542-7579","ECONOMICS","SSCI","1,046","1.7","0.47","14.44"%," 256/600 ","2","Q2","1.6","0.2"," 318/603 ","Q3","47.35","0.001","0.157","0.4","57.4","Q2","Q3","25","100"%,"7","11.3","25",
"INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION","INT J IND ORGAN","ELSEVIER","0167-7187","1873-7986","ECONOMICS","SSCI","3,302","1.7","0.46","14.86"%," 256/600 ","2","Q2","1.5","0.4"," 320/603 ","Q3","47.01","0.003","0.694","1.208","57.4","Q2","Q1","69","98.55"%,"14.3","11.1","68",
"JOURNAL OF INDUSTRIAL ECONOMICS","J IND ECON","WILEY","0022-1821","1467-6451","ECONOMICS","SSCI","2,223","1.7","0.37","34.96"%," 256/600 ","1.8","Q2","1.6","0.2"," 369/603 ","Q3","38.89","0.001","0.234","1.119","57.4","Q2","Q1","67","100"%,"20.7","13.3","67",
"Series-Journal of the Spanish Economic Association","SERIES-J SPAN ECON","SPRINGER HEIDELBERG","1869-4187","1869-4195","ECONOMICS","SSCI","530","1.7","0.36","100"%," 256/600 ","1.7","Q2","1.7","0.3"," 379/603 ","Q3","37.23","0.001","0.144","0.851","57.4","Q2","Q2","20","100"%,"10.2","11.1","20",
"ECONOMIC DEVELOPMENT QUARTERLY","ECON DEV Q","SAGE PUBLICATIONS INC","0891-2424","1552-3543","ECONOMICS","SSCI","1,013","1.7","0.34","0"%," 256/600 ","1.7","Q2","1.5","0.3"," 389/603 ","Q3","35.57","0.001","0.121","0.604","57.4","Q2","Q2","22","95.45"%,"12.4","7.7","21",
"PUBLIC CHOICE","PUBLIC CHOICE","SPRINGER","0048-5829","1573-7101","ECONOMICS","SSCI","4,791","1.6","0.85","24.69"%," 273/600 ","1.7","Q2","1.2","0.7"," 167/603 ","Q2","72.39","0.003","0.585","0.705","54.6","Q2","Q2","82","100"%,"14.8","12.4","82",
"MATHEMATICAL FINANCE","MATH FINANC","WILEY","0960-1627","1467-9965","ECONOMICS","SSCI","2,204","1.6","0.62","37.93"%," 273/600 ","2.2","Q2","1.3","0.7"," 243/603 ","Q2","59.78","0.002","0.443","1.225","54.6","Q2","Q1","52","100"%,"16.9","9.1","52",
"Transnational Corporations Review","TRANSNATL CORP REV","ELSEVIER SCIENCE INC","1918-6444","1925-2099","ECONOMICS","ESCI","509","1.6","0.58","57.89"%," 273/600 ","2","Q2","1.6","<0.1"," 262/603 ","Q2","56.63","0","0.101","0.311","54.6","Q2","Q3","11","100"%,"3.8","9.5","11",
"Journal of Agricultural and Applied Economics","J AGRIC APPL ECON","CAMBRIDGE UNIV PRESS","1074-0708","2056-7405","ECONOMICS","ESCI","953","1.6","0.53","83.08"%," 273/600 ","1.8","Q2","1.4","0.1"," 289/603 ","Q2","52.16","0.001","0.124","0.395","54.6","Q2","Q3","60","100"%,"11.5","9","60",
"DEFENCE AND PEACE ECONOMICS","DEFENCE PEACE ECON","TAYLOR & FRANCIS LTD","1024-2694","1476-8267","ECONOMICS","SSCI","1,437","1.6","0.51","16.04"%," 273/600 ","1.9","Q2","1.3","0.3"," 298/603 ","Q2","50.66","0.001","0.303","0.489","54.6","Q2","Q3","46","100"%,"6.7","9.9","46",
"Journal of Behavioral and Experimental Economics","J BEHAV EXP ECON","ELSEVIER SCIENCE INC","2214-8043","2214-8051","ECONOMICS","SSCI","1,538","1.6","0.51","28.8"%," 273/600 ","1.9","Q2","1.4","0.2"," 298/603 ","Q2","50.66","0.003","0.723","0.77","54.6","Q2","Q2","137","97.81"%,"4.6","11.1","134",
"Journal of Wine Economics","J WINE ECON","CAMBRIDGE UNIV PRESS","1931-4361","1931-437X","ECONOMICS","SSCI","567","1.6","0.51","59.65"%," 273/600 ","1.5","Q3","1.3","0.3"," 298/603 ","Q2","50.66","0","0.055","0.285","54.6","Q2","Q3","21","100"%,"7.6","9","21",
"REVIEW OF SOCIAL ECONOMY","REV SOC ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0034-6764","1470-1162","ECONOMICS","ESCI","682","1.6","0.49","30.77"%," 273/600 ","1.2","Q3","1.5","0.3"," 309/603 ","Q3","48.84","0.001","0.135","0.481","54.6","Q2","Q3","20","100"%,"13.5","13.1","20",
"Journal of Eastern European and Central Asian Research","J E EUR CENT ASIAN R","INST EASTERN EUROPE & CENTAL ASIA","2328-8272","2328-8280","ECONOMICS","ESCI","368","1.6","0.46","85.54"%," 273/600 ","1.4","Q3","0.7","0.5"," 320/603 ","Q3","47.01","0","0.034","0.084","54.6","Q2","Q4","107","99.07"%,"1.8","5.7","106",
"SOUTH AFRICAN JOURNAL OF ECONOMICS","S AFR J ECON","WILEY","0038-2280","1813-6982","ECONOMICS","SSCI","665","1.6","0.45","29.58"%," 273/600 ","1.6","Q3","1.5","0.2"," 327/603 ","Q3","45.85","0","0.081","0.349","54.6","Q2","Q3","22","100"%,"8.1","8.6","22",
"ECONOMICA","ECONOMICA","WILEY","0013-0427","1468-0335","ECONOMICS","SSCI","2,897","1.6","0.44","44.36"%," 273/600 ","2.1","Q2","1.6","0.3"," 332/603 ","Q3","45.02","0.002","0.542","1.461","54.6","Q2","Q1","47","100"%,"15.7","9","47",
"Journal of Neuroscience Psychology and Economics","J NEUROSCI PSYCHOL E","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","1937-321X","2151-318X","ECONOMICS","SSCI","398","1.6","0.37","4.26"%," 273/600 ","1.4","Q3","1.5","0.3"," 369/603 ","Q3","38.89","0","0.06","0.441","54.6","Q2","Q3","15","100"%,"9.5","10.7","15",
"Journal of Human Capital","J HUM CAPITAL","UNIV CHICAGO PRESS","1932-8575","1932-8664","ECONOMICS","SSCI","505","1.6","0.36","3.92"%," 273/600 ","1.8","Q2","1.4","0.3"," 379/603 ","Q3","37.23","0.001","0.148","0.913","54.6","Q2","Q2","16","100"%,"7.9","11.5","16",
"Journal of Economics","J ECON","SPRINGER WIEN","0931-8658","1617-7134","ECONOMICS","SSCI","1,143","1.6","0.28","29.67"%," 273/600 ","1.4","Q3","1.5","0.7"," 426/603 ","Q3","29.44","0.001","0.164","0.495","54.6","Q2","Q3","27","100"%,"13.8","14.9","27",
"Cliometrica","CLIOMETRICA","SPRINGER HEIDELBERG","1863-2505","1863-2513","ECONOMICS","SSCI","337","1.5","1.93","47.37"%," 287/600 ","1.7","Q2","1.3","0.5"," 32/603 ","Q1","94.78","0.001","0.222","1.162","52.3","Q2","Q1","16","100"%,"5.5","16.1","16",
"Journal of Industrial and Business Economics","J IND BUS ECON","SPRINGERNATURE","0391-2078","1972-4977","ECONOMICS","ESCI","420","1.5","1.13","35.64"%," 287/600 ","N/A","N/A","1.3","0.8"," 111/603 ","Q1","81.67","0.001","0.17","N/A","52.3","Q2","N/A","33","96.97"%,"3.4","9.5","32",
"Economic and Labour Relations Review","ECON LABOUR RELAT RE","CAMBRIDGE UNIV PRESS","1035-3046","1838-2673","ECONOMICS","SSCI","717","1.5","0.8","33.63"%," 287/600 ","1.9","Q2","1.4","0.3"," 183/603 ","Q2","69.73","0.001","0.186","0.676","52.3","Q2","Q2","46","100"%,"6.4","6.9","46",
"Spatial Economic Analysis","SPAT ECON ANAL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1742-1772","1742-1780","ECONOMICS","SSCI","846","1.5","0.71","21.79"%," 287/600 ","2","Q2","1.1","0.8"," 212/603 ","Q2","64.93","0.001","0.125","0.536","52.3","Q2","Q2","26","100"%,"9.4","10.3","26",
"OXFORD BULLETIN OF ECONOMICS AND STATISTICS","OXFORD B ECON STAT","WILEY","0305-9049","1468-0084","ECONOMICS","SSCI","5,181","1.5","0.68","35.4"%," 287/600 ","2.6","Q2","1.4","0.3"," 227/603 ","Q2","62.44","0.003","0.767","1.387","52.3","Q2","Q1","53","100"%,"16.3","11","53",
"REVIEW OF WORLD ECONOMICS","REV WORLD ECON","SPRINGER","1610-2878","1610-2886","ECONOMICS","SSCI","1,216","1.5","0.64","33.03"%," 287/600 ","2","Q2","1.5","0.2"," 236/603 ","Q2","60.95","0.001","0.194","0.578","52.3","Q2","Q2","26","100"%,"9.6","12.2","26",
"Annals of Actuarial Science","ANN ACTUAR SCI","CAMBRIDGE UNIV PRESS","1748-4995","1748-5002","ECONOMICS","ESCI","241","1.5","0.61","38.27"%," 287/600 ","1.2","Q3","1.3","0.4"," 249/603 ","Q2","58.79","0","0.103","0.463","52.3","Q2","Q3","22","100"%,"3.8","11.4","22",
"OPEC Energy Review","OPEC ENERGY REV","WILEY","1753-0229","1753-0237","ECONOMICS","ESCI","386","1.5","0.6","7.14"%," 287/600 ","1.9","Q2","1.5","0.5"," 252/603 ","Q2","58.29","0","0.053","0.245","52.3","Q2","Q3","16","100"%,"5.2","7.7","16",
"SINGAPORE ECONOMIC REVIEW","SINGAP ECON REV","WORLD SCIENTIFIC PUBL CO PTE LTD","0217-5908","1793-6837","ECONOMICS","SSCI","1,264","1.5","0.58","1.3"%," 287/600 ","1.6","Q3","1.5","0.7"," 262/603 ","Q2","56.63","0.001","0.263","0.25","52.3","Q2","Q3","126","100"%,"3.2","11.2","126",
"Economics & Politics","ECON POLIT-OXFORD","WILEY PERIODICALS, INC","0954-1985","1468-0343","ECONOMICS","SSCI","1,007","1.5","0.56","27.66"%," 287/600 ","1.9","Q2","1.4","0.1"," 276/603 ","Q2","54.31","0.001","0.2","0.899","52.3","Q2","Q2","32","100"%,"15.3","12","32",
"International Journal of Health Economics and Management","INT J HEALTH ECON MA","SPRINGER","2199-9023","2199-9031","ECONOMICS","SSCI","236","1.5","0.54","31.94"%," 287/600 ","1.6","Q3","1.5","0.1"," 282/603 ","Q2","53.32","0.001","0.161","0.779","52.3","Q2","Q2","22","100"%,"3.8","9.3","22",
"INTERNATIONAL ECONOMICS AND ECONOMIC POLICY","INT ECON ECON POL","SPRINGER HEIDELBERG","1612-4804","1612-4812","ECONOMICS","ESCI","497","1.5","0.52","36.47"%," 287/600 ","1.7","Q2","1.5","<0.1"," 293/603 ","Q2","51.49","0","0.106","0.374","52.3","Q2","Q3","27","96.3"%,"5.7","11.1","26",
"KYKLOS","KYKLOS","WILEY","0023-5962","1467-6435","ECONOMICS","SSCI","1,629","1.5","0.52","40.82"%," 287/600 ","1.9","Q2","1.2","0.2"," 293/603 ","Q2","51.49","0.001","0.164","0.692","52.3","Q2","Q2","43","100"%,"16.4","12.3","43",
"Journal of Entrepreneurship and Public Policy","J ENTREP PUBLIC POLI","EMERALD GROUP PUBLISHING LTD","2045-2101","2045-211X","ECONOMICS","ESCI","317","1.5","0.51","1.69"%," 287/600 ","1.7","Q2","1.3","0.1"," 298/603 ","Q2","50.66","0","0.071","0.304","52.3","Q2","Q3","13","100"%,"4.5","6.5","13",
"QUANTITATIVE FINANCE","QUANT FINANC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1469-7688","1469-7696","ECONOMICS","SSCI","3,553","1.5","0.46","19.66"%," 287/600 ","2.2","Q2","1.3","0.4"," 320/603 ","Q3","47.01","0.004","0.839","0.787","52.3","Q2","Q2","85","100"%,"8.1","12.6","85",
"INTERNATIONAL ECONOMIC REVIEW","INT ECON REV","WILEY","0020-6598","1468-2354","ECONOMICS","SSCI","5,407","1.5","0.42","25"%," 287/600 ","1.9","Q2","1.4","0.3"," 342/603 ","Q3","43.37","0.006","1.25","2.088","52.3","Q2","Q1","61","95.08"%,"21.4","11.9","58",
"Comparative Economic Studies","COMP ECON STUD","PALGRAVE MACMILLAN LTD","0888-7233","1478-3320","ECONOMICS","ESCI","630","1.5","0.38","17.07"%," 287/600 ","1.4","Q3","1.3","0.6"," 364/603 ","Q3","39.72","0","0.102","0.375","52.3","Q2","Q3","23","100"%,"9.5","10.9","23",
"OPEN ECONOMIES REVIEW","OPEN ECON REV","SPRINGER","0923-7992","1573-708X","ECONOMICS","SSCI","828","1.5","0.38","34.92"%," 287/600 ","1.5","Q3","1.3","0.2"," 364/603 ","Q3","39.72","0.001","0.174","0.42","52.3","Q2","Q3","40","97.5"%,"7.4","11","39",
"JAPANESE ECONOMIC REVIEW","JPN ECON REV","SPRINGER HEIDELBERG","1352-4739","1468-5876","ECONOMICS","SSCI","430","1.5","0.36","43.28"%," 287/600 ","1.1","Q3","1.4","<0.1"," 379/603 ","Q3","37.23","0.001","0.119","0.447","52.3","Q2","Q3","15","100"%,"11","13.4","15",
"Retos-Revista de Ciencias de la Administracion y Economia","RETOS-REV CIENC ADM","UNIV POLITECNICA SALESIANA ECUADOR-SALESIAN POLYTECNIC UNIV","1390-6291","1390-8618","ECONOMICS","ESCI","172","1.5","0.27","96.67"%," 287/600 ","1.5","Q3","1.3","0.1"," 439/603 ","Q3","27.28","0","0.045","0.246","52.3","Q2","Q3","20","100"%,"4.2","5.6","20",
"Frontiers of Economics in China","FRONT ECON CHINA","HIGHER EDUCATION PRESS","1673-3444","1673-3568","ECONOMICS","ESCI","221","1.5","0.19","0"%," 287/600 ","0.8","Q4","1.5","N/A"," 491/603 ","Q4","18.66","0","0.031","0.167","52.3","Q2","Q4","0","N/A","9.3","N/A","0",
"ECONOMIC HISTORY REVIEW","ECON HIST REV","WILEY","0013-0117","1468-0289","ECONOMICS","SSCI","2,521","1.4","2.48","48.05"%," 308/600 ","1.9","Q2","1.3","0.3"," 14/603 ","Q1","97.76","0.003","0.741","1.532","48.8","Q3","Q1","51","100"%,"14.6","19","51",
"Innovation and Development","INNOV DEV","TAYLOR & FRANCIS LTD","2157-930X","2157-9318","ECONOMICS","ESCI","421","1.4","0.65","22.5"%," 308/600 ","N/A","N/A","1.2","0.8"," 231/603 ","Q2","61.77","0","0.08","N/A","48.8","Q3","N/A","35","94.29"%,"5.2","9.8","33",
"Journal of Applied Economics","J APPL ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1514-0326","1667-6726","ECONOMICS","SSCI","702","1.4","0.56","99.22"%," 308/600 ","1.9","Q2","1.4","0.3"," 276/603 ","Q2","54.31","0.001","0.129","0.409","48.8","Q3","Q3","34","100"%,"6.4","10.8","34",
"JOURNAL OF HOUSING ECONOMICS","J HOUS ECON","ACADEMIC PRESS INC ELSEVIER SCIENCE","1051-1377","1096-0791","ECONOMICS","SSCI","1,423","1.4","0.54","13.76"%," 308/600 ","2","Q2","1.3","1"," 282/603 ","Q2","53.32","0.001","0.313","0.875","48.8","Q3","Q2","34","100"%,"9.2","7.2","34",
"International Review of Applied Economics","INT REV APPL ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0269-2171","1465-3486","ECONOMICS","ESCI","1,045","1.4","0.53","13.39"%," 308/600 ","1.9","Q2","1.4","0.2"," 289/603 ","Q2","52.16","0.001","0.186","0.476","48.8","Q3","Q3","36","86.11"%,"8.3","10.2","31",
"CHINESE ECONOMY","CHIN ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1097-1475","1558-0954","ECONOMICS","ESCI","423","1.4","0.5","3.3"%," 308/600 ","1.3","Q3","1.3","<0.1"," 304/603 ","Q3","49.67","0","0.072","0.25","48.8","Q3","Q3","17","100"%,"6","7.4","17",
"JOURNAL OF ECONOMIC THEORY","J ECON THEORY","ACADEMIC PRESS INC ELSEVIER SCIENCE","0022-0531","1095-7235","ECONOMICS","SSCI","8,450","1.4","0.45","18.71"%," 308/600 ","1.7","Q2","1.2","0.3"," 327/603 ","Q3","45.85","0.013","2.896","2.402","48.8","Q3","Q1","124","100"%,"20.3","13.3","124",
"African Journal of Economic and Management Studies","AFR J ECON MANAG STU","EMERALD GROUP PUBLISHING LTD","2040-0705","2040-0713","ECONOMICS","ESCI","579","1.4","0.43","10.85"%," 308/600 ","1.7","Q2","1.3","0.3"," 336/603 ","Q3","44.36","0","0.085","0.244","48.8","Q3","Q3","53","100"%,"5.1","6.3","53",
"E & M Ekonomie a Management","E M EKON MANAG","TECHNICAL UNIV LIBEREC","1212-3609","2336-5064","ECONOMICS","SSCI","535","1.4","0.41","99.3"%," 308/600 ","1.1","Q3","1.3","0.2"," 347/603 ","Q3","42.54","0","0.08","0.164","48.8","Q3","Q4","45","100"%,"4.9","6.9","45",
"Journal of the Asia Pacific Economy","J ASIA PAC ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1354-7860","1469-9648","ECONOMICS","SSCI","961","1.4","0.41","1.54"%," 308/600 ","1.8","Q2","1.4","0.1"," 347/603 ","Q3","42.54","0.001","0.18","0.352","48.8","Q3","Q3","47","100"%,"5.7","9","47",
"Journal of the British Blockchain Association","J BRIT BLOCKCHAIN AS","BRITISH BLOCKCHAIN ASSOC","N/A","2516-3957","ECONOMICS","ESCI","136","1.4","0.39","84.85"%," 308/600 ","1.9","Q2","1.2","0.3"," 360/603 ","Q3","40.38","0","0.038","0.306","48.8","Q3","Q3","12","100"%,"5","7.8","12",
"JOURNAL OF AFRICAN ECONOMIES","J AFR ECON","OXFORD UNIV PRESS","0963-8024","1464-3723","ECONOMICS","SSCI","1,313","1.4","0.38","41.38"%," 308/600 ","1.7","Q2","1.4","0.1"," 364/603 ","Q3","39.72","0.001","0.158","0.593","48.8","Q3","Q2","46","100"%,"11.1","11","46",
"JOURNAL OF REGULATORY ECONOMICS","J REGUL ECON","SPRINGER","0922-680X","1573-0468","ECONOMICS","SSCI","794","1.4","0.37","22.22"%," 308/600 ","1.6","Q3","1.4","0.5"," 369/603 ","Q3","38.89","0","0.087","0.461","48.8","Q3","Q3","13","100"%,"13","10.2","13",
"Asia-Pacific Journal of Accounting & Economics","ASIA-PAC J ACCOUNT E","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1608-1625","2164-2257","ECONOMICS","SSCI","778","1.4","0.33","3.7"%," 308/600 ","1.5","Q3","1.4","0.4"," 395/603 ","Q3","34.58","0.001","0.166","0.279","48.8","Q3","Q3","35","100"%,"4.1","10.7","35",
"Economic Computation and Economic Cybernetics Studies and Research","ECON COMPUT ECON CYB","EDITURA ASE","0424-267X","1842-3264","ECONOMICS","SSCI","632","1.4","0.32","96.12"%," 308/600 ","0.9","Q3","1.3","0.1"," 401/603 ","Q3","33.58","0","0.093","0.135","48.8","Q3","Q4","76","100"%,"5.3","7.2","76",
"Journal of Competition Law & Economics","J COMPET LAW ECON","OXFORD UNIV PRESS","1744-6414","1744-6422","ECONOMICS","SSCI","452","1.3","0.99","15"%," 323/600 ","1.5","Q3","1.2","0.2"," 136/603 ","Q1","77.53","0.001","0.223","1.037","46.3","Q3","Q2","17","100"%,"8.2","8.7","17",
"JOURNAL OF LAW ECONOMICS & ORGANIZATION","J LAW ECON ORGAN","OXFORD UNIV PRESS INC","8756-6222","1465-7341","ECONOMICS","SSCI","2,276","1.3","0.89","9.82"%," 323/600 ","1.6","Q3","1.2","0.3"," 160/603 ","Q2","73.55","0.002","0.362","1.487","46.3","Q3","Q1","35","100"%,"22.1","11.6","35",
"JOURNAL OF RISK AND UNCERTAINTY","J RISK UNCERTAINTY","SPRINGER","0895-5646","1573-0476","ECONOMICS","SSCI","2,893","1.3","0.89","51.35"%," 323/600 ","3.1","Q1","1.2","0.6"," 160/603 ","Q2","73.55","0.002","0.335","1.588","46.3","Q3","Q1","18","100"%,"22.7","12.5","18",
"International Review of Economics Education","INT REV ECON EDUC","ELSEVIER SCI LTD","1477-3880","2352-4421","ECONOMICS","SSCI","463","1.3","0.69","14.04"%," 323/600 ","1.7","Q2","1","0.4"," 225/603 ","Q2","62.77","0","0.078","0.376","46.3","Q3","Q3","14","85.71"%,"7.5","7.8","12",
